video_id,dominant_emotion,emotion_variety,views,likes,shares,comments,share_view_ratio,comment_view_ratio,like_view_ratio,log_share_view_ratio,log_comment_view_ratio,total_emoji,emoji_density,emoji_per_comment,emoji_view_ratio,log_views,log_shares,log_likes,log_comments,log_total_emoji,early_arousal_group,avg_emotion_intensity,high_arousal_intensity,low_arousal_intensity,early_arousal,early_high_arousal_intensity,early_low_arousal_intensity,early_angry_intensity,early_disgust_intensity,early_fear_intensity,early_happiness_intensity,early_sadness_intensity,early_surprise_intensity,early_neutral_intensity,whole_arousal,whole_high_arousal_intensity,whole_low_arousal_intensity,whole_angry_intensity,whole_disgust_intensity,whole_fear_intensity,whole_happiness_intensity,whole_sadness_intensity,whole_surprise_intensity,whole_neutral_intensity,late_arousal,late_high_arousal_intensity,late_low_arousal_intensity,late_angry_intensity,late_disgust_intensity,late_fear_intensity,late_happiness_intensity,late_sadness_intensity,late_surprise_intensity,late_neutral_intensity,audio_tempo,audio_rms_energy,audio_spec_centroid,audio_zcr,audio_chroma_std,early_audio_rms_energy,early_audio_spec_centroid,early_audio_zcr,late_audio_rms_energy,late_audio_spec_centroid,late_audio_zcr,audio_energy_delta,audio_brightness_delta
6968905209095458049,sad,7,9353,1042,7,19,0.0007483429548856104,0.002031216591832371,0.11139619414154373,0.000748063085913159,0.0020291564606542915,1.0,0.1,0.09090909090909091,0.00010690613641223006,9.143559338285831,2.0794415416798357,6.949856455000773,2.995732273553991,0.6931471805599453,Low,0.14287142857142857,0.33340000000000003,0.4894,0.6833,0.6389,0.36119999999999997,0.0278,0.0278,0.3611,0.0,0.2778,0.25,0.0556,0.5709,0.33340000000000003,0.4894,0.1277,0.0071,0.1277,0.1773,0.3759,0.078,0.1064,0.6056,0.1945,0.33330000000000004,0.1389,0.0,0.0,0.4722,0.1111,0.0556,0.2222,123.05,0.081248,2243.68,0.119734,0.317173,0.10166,2119.42,0.115774,0.060325,2609.72,0.141841,-0.041335,490.3
6968999590536219905,angry,6,10100,1123,6,18,0.000594000594000594,0.001782001782001782,0.11117711117711118,0.0005938242454783864,0.0017804159005757583,1.0,0.1111111111111111,0.1,9.9000099000099e-05,9.220389707829185,1.9459101490553132,7.024649030453636,2.9444389791664403,0.6931471805599453,High,0.14285714285714285,0.8621,0.1322,0.8455,0.9091,0.0909,0.3864,0.0,0.0682,0.0,0.0,0.4545,0.0909,0.8195,0.8621,0.1322,0.4885,0.0,0.0977,0.0057,0.0115,0.2759,0.1207,0.7558,0.7441,0.23260000000000003,0.2558,0.0,0.1395,0.0233,0.0233,0.3488,0.2093,107.67,0.098907,2210.0,0.12777,0.313865,0.10958,2060.67,0.114538,0.093858,2285.22,0.13782,-0.015722,224.55
6969298511233912066,neutral,7,4227,314,6,4,0.0014191106906338694,0.000946073793755913,0.07426679280983917,0.0014181047046822129,0.0009456265480070571,0.0,0.0,0.0,0.0,8.349484346990128,1.9459101490553132,5.752572638825633,1.6094379124341003,0.0,Low,0.14285714285714285,0.5783,0.3877,0.6622,0.5675,0.3784,0.1351,0.0,0.2432,0.0541,0.027,0.1892,0.3514,0.6605,0.5783,0.3877,0.2109,0.0136,0.1905,0.034,0.1224,0.1769,0.2517,0.6389,0.5279,0.41659999999999997,0.3056,0.0,0.0556,0.0556,0.1944,0.1667,0.2222,143.55,0.086109,2100.01,0.11544,0.307564,0.10704,2303.63,0.133917,0.099724,2067.31,0.110026,-0.007316,-236.32
6969305328953330946,neutral,6,10600,1801,18,51,0.0016979530232996887,0.004810866899349118,0.16988963305348553,0.001696513130747879,0.0047993316607251755,3.0,0.1428571428571428,0.13636363636363635,0.0002829921705499481,9.268703615273097,2.9444389791664403,7.496652438168283,3.9512437185814275,1.3862943611198906,Low,0.14285714285714285,0.523,0.454,0.5227,0.3409,0.6136,0.1818,0.0,0.0227,0.0455,0.0227,0.1364,0.5909,0.623,0.523,0.454,0.2816,0.0,0.0805,0.023,0.023,0.1609,0.431,0.5864,0.47719999999999996,0.5228,0.1136,0.0,0.2045,0.0,0.0455,0.1591,0.4773,112.35,0.078882,2248.01,0.126136,0.310327,0.083383,2344.41,0.134637,0.066443,2256.06,0.131625,-0.01694,-88.35
6970033602935540994,angry,6,4038,455,7,20,0.0017331022530329288,0.0049517207229512255,0.11265164644714037,0.0017316021642779084,0.004939501275484864,1.0,0.1428571428571428,0.125,0.0002475860361475613,8.303752415563412,2.0794415416798357,6.1224928095143865,3.044522437723423,0.6931471805599453,Low,0.14285714285714285,0.7004999999999999,0.2944,0.66,0.6000000000000001,0.4,0.28,0.0,0.12,0.0,0.26,0.2,0.14,0.7223,0.7004999999999999,0.2944,0.3198,0.0,0.0964,0.0051,0.1218,0.2843,0.1726,0.6184,0.5306,0.46940000000000004,0.2245,0.0,0.1837,0.0,0.1837,0.1224,0.2857,152.0,0.091679,2135.49,0.111241,0.31982,0.099478,2182.51,0.120165,0.082519,2212.52,0.112188,-0.016959,30.01
6970373625807490309,neutral,7,9492,1232,1,10,0.00010534077741493732,0.0010534077741493732,0.12977983777520277,0.00010533522946485763,0.0010528533295167503,1.0,0.1428571428571428,0.125,0.00010534077741493732,9.158309963881798,0.6931471805599453,7.117205503164344,2.3978952727983707,0.6931471805599453,Low,0.14285714285714285,0.2753,0.6067,0.5667,0.3556,0.5111,0.1111,0.0,0.1778,0.1333,0.3111,0.0667,0.2,0.5124,0.2753,0.6067,0.118,0.0056,0.1236,0.118,0.191,0.0337,0.4101,0.4511,0.1777,0.7111,0.0222,0.0,0.1333,0.1111,0.0667,0.0222,0.6444,123.05,0.036406,2107.14,0.09952,0.318698,0.032052,2046.1,0.099094,0.04971,2118.91,0.102863,0.017658,72.81
6970769933240208646,neutral,7,18200,2160,1,9,5.494203615185979e-05,0.0004944783253667381,0.11867479808801715,5.4940526893472435e-05,0.0004943561112461055,1.0,0.1428571428571428,0.125,5.494203615185979e-05,9.809231816610408,0.6931471805599453,7.6783263565068856,2.302585092994046,0.6931471805599453,Low,0.14284285714285713,0.1966,0.5730000000000001,0.5089,0.2,0.5777,0.0222,0.0,0.1778,0.2222,0.0444,0.0,0.5333,0.5101,0.1966,0.5730000000000001,0.0674,0.0056,0.1236,0.2303,0.1011,0.0056,0.4663,0.4644,0.1111,0.6445,0.0667,0.0,0.0222,0.2444,0.1556,0.0222,0.4889,123.05,0.06425,1987.81,0.084607,0.314284,0.048969,1922.38,0.094283,0.136479,1913.39,0.072719,0.08751,-8.99
6970805194141519105,angry,7,5228,702,6,22,0.0011474469305794606,0.004207305412124689,0.1342512908777969,0.0011467891165066178,0.004198479449728678,1.0,0.0833333333333333,0.07692307692307693,0.00019124115509657678,8.56197533418813,1.9459101490553132,6.555356891810665,3.1354942159291497,0.6931471805599453,High,0.14284285714285713,0.7999,0.1515,0.7476,0.7143,0.23809999999999998,0.2619,0.0238,0.2381,0.0476,0.0476,0.2143,0.1667,0.7994,0.7999,0.1515,0.5333,0.0182,0.0848,0.0485,0.0545,0.1818,0.0788,0.8805,0.9513,0.0244,0.8293,0.0,0.0,0.0244,0.0,0.122,0.0244,103.36,0.084164,2099.14,0.113025,0.315206,0.103499,2004.79,0.10966,0.074021,1936.52,0.102263,-0.029478,-68.27
6970808495255981314,angry,7,3408,174,2,6,0.0005866823115283074,0.0017600469345849222,0.05104136110296274,0.0005865102807426348,0.0017584998669873421,1.0,0.3333333333333333,0.25,0.0002933411557641537,8.134174272137903,1.0986122886681098,5.1647859739235145,1.9459101490553132,0.6931471805599453,Low,0.14285714285714285,0.7635000000000001,0.2297,0.6514,0.5676,0.4054,0.4054,0.1081,0.0541,0.027,0.1622,0.1081,0.1351,0.7608,0.7635000000000001,0.2297,0.4865,0.0338,0.0608,0.0068,0.1351,0.2162,0.0608,0.8351,0.8918999999999999,0.1082,0.6757,0.0,0.0,0.0,0.0541,0.2162,0.0541,103.36,0.070318,2081.05,0.111732,0.315367,0.083306,2021.61,0.114497,0.0642,2016.14,0.10663,-0.019106,-5.47
6970833637868670209,neutral,7,2505,134,0,3,0.0,0.0011971268954509178,0.053471667996807665,0.0,0.0011964109104086772,0.0,0.0,0.0,0.0,7.826443135456014,0.0,4.90527477843843,1.3862943611198906,0.0,High,0.14285714285714285,0.5267,0.38930000000000003,0.7061,0.6363,0.303,0.1515,0.0,0.1515,0.0606,0.0303,0.3333,0.2727,0.6496,0.5267,0.38930000000000003,0.1374,0.0076,0.1756,0.084,0.0382,0.2137,0.3435,0.7242,0.606,0.2424,0.0909,0.0,0.2424,0.1515,0.0606,0.2727,0.1818,136.0,0.078492,2170.73,0.121433,0.313322,0.083608,2032.76,0.111223,0.0759,2025.95,0.111439,-0.007708,-6.81
