video_id,duration_s,frames_analyzed,dominant_emotion,emotion_variety,early_arousal,whole_arousal,late_arousal,early_angry_intensity,early_disgust_intensity,early_fear_intensity,early_happiness_intensity,early_sadness_intensity,early_surprise_intensity,early_neutral_intensity,whole_angry_intensity,whole_disgust_intensity,whole_fear_intensity,whole_happiness_intensity,whole_sadness_intensity,whole_surprise_intensity,whole_neutral_intensity,late_angry_intensity,late_disgust_intensity,late_fear_intensity,late_happiness_intensity,late_sadness_intensity,late_surprise_intensity,late_neutral_intensity
6968905209095458049,46.7,141,sad,7,0.6833,0.5709,0.6056,0.0278,0.0278,0.3611,0.0,0.2778,0.25,0.0556,0.1277,0.0071,0.1277,0.1773,0.3759,0.078,0.1064,0.1389,0.0,0.0,0.4722,0.1111,0.0556,0.2222
6968999590536219905,57.97,174,angry,6,0.8455,0.8195,0.7558,0.3864,0.0,0.0682,0.0,0.0,0.4545,0.0909,0.4885,0.0,0.0977,0.0057,0.0115,0.2759,0.1207,0.2558,0.0,0.1395,0.0233,0.0233,0.3488,0.2093
6969298511233912066,48.97,147,neutral,7,0.6622,0.6605,0.6389,0.1351,0.0,0.2432,0.0541,0.027,0.1892,0.3514,0.2109,0.0136,0.1905,0.034,0.1224,0.1769,0.2517,0.3056,0.0,0.0556,0.0556,0.1944,0.1667,0.2222
6969305328953330946,57.77,174,neutral,6,0.5227,0.623,0.5864,0.1818,0.0,0.0227,0.0455,0.0227,0.1364,0.5909,0.2816,0.0,0.0805,0.023,0.023,0.1609,0.431,0.1136,0.0,0.2045,0.0,0.0455,0.1591,0.4773
6970033602935540994,59.1,197,angry,6,0.66,0.7223,0.6184,0.28,0.0,0.12,0.0,0.26,0.2,0.14,0.3198,0.0,0.0964,0.0051,0.1218,0.2843,0.1726,0.2245,0.0,0.1837,0.0,0.1837,0.1224,0.2857
6970373625807490309,59.03,178,neutral,7,0.5667,0.5124,0.4511,0.1111,0.0,0.1778,0.1333,0.3111,0.0667,0.2,0.118,0.0056,0.1236,0.118,0.191,0.0337,0.4101,0.0222,0.0,0.1333,0.1111,0.0667,0.0222,0.6444
6970769933240208646,59.03,178,neutral,7,0.5089,0.5101,0.4644,0.0222,0.0,0.1778,0.2222,0.0444,0.0,0.5333,0.0674,0.0056,0.1236,0.2303,0.1011,0.0056,0.4663,0.0667,0.0,0.0222,0.2444,0.1556,0.0222,0.4889
6970805194141519105,54.93,165,angry,7,0.7476,0.7994,0.8805,0.2619,0.0238,0.2381,0.0476,0.0476,0.2143,0.1667,0.5333,0.0182,0.0848,0.0485,0.0545,0.1818,0.0788,0.8293,0.0,0.0,0.0244,0.0,0.122,0.0244
6970808495255981314,49.2,148,angry,7,0.6514,0.7608,0.8351,0.4054,0.1081,0.0541,0.027,0.1622,0.1081,0.1351,0.4865,0.0338,0.0608,0.0068,0.1351,0.2162,0.0608,0.6757,0.0,0.0,0.0,0.0541,0.2162,0.0541
6970833637868670209,43.37,131,neutral,7,0.7061,0.6496,0.7242,0.1515,0.0,0.1515,0.0606,0.0303,0.3333,0.2727,0.1374,0.0076,0.1756,0.084,0.0382,0.2137,0.3435,0.0909,0.0,0.2424,0.1515,0.0606,0.2727,0.1818
6970837044452953345,56.33,169,angry,7,0.714,0.6964,0.7286,0.3721,0.093,0.2093,0.093,0.1163,0.0465,0.0698,0.3609,0.0237,0.1538,0.1124,0.1065,0.071,0.1716,0.4286,0.0,0.0714,0.2143,0.0714,0.0714,0.1429
6970839203978464514,52.57,158,angry,6,0.63,0.7076,0.7462,0.225,0.0,0.225,0.075,0.2,0.05,0.225,0.4241,0.0,0.1646,0.0696,0.1582,0.0443,0.1392,0.5641,0.0,0.0769,0.0769,0.1282,0.0513,0.1026
6970840723230870785,29.2,88,angry,6,0.8182,0.7864,0.8455,0.7273,0.0,0.0,0.1364,0.0455,0.0455,0.0455,0.625,0.0,0.0682,0.0568,0.125,0.0795,0.0455,0.5909,0.0,0.0909,0.0,0.0455,0.2273,0.0455
